Id. urządzenia,Kod urządzenia,Opis urządzenia,Id. typu urządzenia,Kod typu urządzenia,Kategoria typu urządzenia,Id. obiektu urządzenia,Id. grupy urządzenia,Typ komunikacji,Adres urządzenia,Kod budynku,Status opisu,Stan urządzenia,Kod miasta,Adres GPS urządzenia,Adres IP urządzenia,Instr. urządzenia,Instr. alarm. urządzenia,Instr. urządzenia(param.),Plan_przeglądów,Czas aktualizacji,Id. miasta,Id. budynku,Kod FK urządzenia,Numer urządzenia
5024,LC K10-24 CW,Licznik CW PKP,18,Licznik CW(O),R,40,783,"BSM,2,2,2,2,CW",Malinowskiego 1,Miasto,A,Praca,Białogard,"54,0117104 15,9554018",,,,,,2017-06-07 15:29,2,1,,
5025,LC K10-25 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,1,2,1,CO",Malinowskiego 2,Miasto,A,Praca,Białogard,"54,0117041 15,9543504",,,,,,2017-06-07 15:29,2,1,,
5026,LC K10-26 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,1,2,1,CW",Malinowskiego 2,Miasto,A,Praca,Białogard,"54,0117041 15,9543504",,,,,,2017-06-07 15:29,2,1,,
5027,LC K10-27 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,3,2,3,CO",Malinowskiego 4,Miasto,A,Praca,Białogard,"54,0120950 15,9534277",,,,,,2017-06-07 15:29,2,1,,
5028,LC K10-28 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,3,2,3,CW",Malinowskiego 4,Miasto,A,Praca,Białogard,"54,0120950 15,9534277",,,,,,2017-06-07 15:29,2,1,,
5029,LC K10-29 CO,Licznik CO BSM/G/W-1,17,Licznik CO(O),R,40,783,"BSM,2,12,2,12,CO",Olimpijska 1,Miasto,A,Praca,Białogard,"54,0136698 15,9546113",,,,,,2017-06-07 15:29,2,1,,
5030,LC K10-30 CW,Licznik CW BSM/G/W-1,18,Licznik CW(O),R,40,783,"BSM,2,12,2,12,CW",Olimpijska 1,Miasto,A,Praca,Białogard,"54,0136698 15,9546113",,,,,,2017-06-07 15:29,2,1,,
5031,LC K10-31 CO,Licznik CO BSM/G/W-1,17,Licznik CO(O),R,40,783,"BSM,2,13,2,13,CO",Olimpijska 2,Miasto,A,Praca,Białogard,"54,0135059 15,9559314",,,,,,2017-06-07 15:29,2,1,,
5032,LC K10-32 CW,Licznik CW BSM/G/W-1,18,Licznik CW(O),R,40,783,"BSM,2,13,2,13,CW",Olimpijska 2,Miasto,A,Praca,Białogard,"54,0135059 15,9559314",,,,,,2017-06-07 15:29,2,1,,
5033,LC K10-33 CO,Licznik CO BSM/G/W-1,17,Licznik CO(O),R,40,783,"BSM,2,14,2,14,CO",Olimpijska 3,Miasto,A,Praca,Białogard,"54,0133483 15,9541397",,,,,,2017-06-07 15:29,2,1,,
5034,LC K10-34 CW,Licznik CW BSM/G/W-1,18,Licznik CW(O),R,40,783,"BSM,2,14,2,14,CW",Olimpijska 3,Miasto,A,Praca,Białogard,"54,0133483 15,9541397",,,,,,2017-06-07 15:29,2,1,,
5035,LC K10-35 CO,Licznik CO BSM/G/W-1,17,Licznik CO(O),R,40,783,"BSM,2,15,2,15,CO",Olimpijska 4,Miasto,A,Praca,Białogard,"54,0131150 15,9554593",,,,,,2017-06-07 15:29,2,1,,
5036,LC K10-36 CW,Licznik CW BSM/G/W-1,18,Licznik CW(O),R,40,783,"BSM,2,15,2,15,CW",Olimpijska 4,Miasto,A,Praca,Białogard,"54,0131150 15,9554593",,,,,,2017-06-07 15:29,2,1,,
5037,LC K10-37 CO,Licznik CO Orange Polska,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",Osiedle Kołobrzeska 2,Miasto,A,Praca,Białogard,"54,0129008 15,9577864",,,,,,2017-06-07 15:29,2,1,,
5038,LC K10-38 CO,Licznik CO BSM/GD/W-1,17,Licznik CO(O),R,40,783,"BSM,2,11,2,11,CO",Polna 10,Miasto,A,Praca,Białogard,"54,0134176 15,9526376",,,,,,2017-06-07 15:29,2,1,,
5039,LC K10-39 CW,Licznik CW BSM/GD/W-1,18,Licznik CW(O),R,40,783,"BSM,2,11,2,11,CW",Polna 10,Miasto,A,Praca,Białogard,"54,0134176 15,9526376",,,,,,2017-06-07 15:29,2,1,,
5040,LC K10-40 CO,Licznik CO BSM/GD/W-1,17,Licznik CO(O),R,40,783,"BSM,2,8,2,8,CO",Polna 5,Miasto,A,Praca,Białogard,"54,0140548 15,9542249",,,,,,2017-06-07 15:29,2,1,,
5041,LC K10-41 CW,Licznik CW BSM/GD/W-1,18,Licznik CW(O),R,40,783,"BSM,2,8,2,8,CW",Polna 5,Miasto,A,Praca,Białogard,"54,0140548 15,9542249",,,,,,2017-06-07 15:29,2,1,,
5042,LC K10-42 CO,Licznik CO BSM/GD/W-1,17,Licznik CO(O),R,40,783,"BSM,2,40,2,22,CO",Polna 6,Miasto,A,Praca,Białogard,"54,0141966 15,9532754",,,,,,2017-06-07 15:29,2,1,,
5043,LC K10-43 CW,Licznik CW BSM/GD/W-1,18,Licznik CW(O),R,40,783,"BSM,2,40,2,22,CW",Polna 6,Miasto,A,Praca,Białogard,"54,0141966 15,9532754",,,,,,2017-06-07 15:29,2,1,,
5044,LC K10-44 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,9,2,9,CO",Polna 7,Miasto,A,Praca,Białogard,"54,0131339 15,9534745",,,,,,2017-06-07 15:29,2,1,,
5045,LC K10-45 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,9,2,9,CW",Polna 7,Miasto,A,Praca,Białogard,"54,0131339 15,9534745",,,,,,2017-06-07 15:29,2,1,,
5046,LC K10-46 CO,Licznik CO BSM/GD/W-1,17,Licznik CO(O),R,40,783,"BSM,2,10,2,10,CO",Polna 8,Miasto,A,Praca,Białogard,"54,0137900 15,9535168",,,,,,2017-06-07 15:29,2,1,,
5047,LC K10-47 CW,Licznik CW BSM/GD/W-1,18,Licznik CW(O),R,40,783,"BSM,2,10,2,10,CW",Polna 8,Miasto,A,Praca,Białogard,"54,0137900 15,9535168",,,,,,2017-06-07 15:29,2,1,,
5048,LC K10-48 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,4,2,4,CO",Feliksa Stamma 1,Miasto,A,Praca,Białogard,"54,0112613 15,9562018",,,,,,2017-06-07 15:29,2,1,,
5049,LC K10-49 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,4,2,4,CW",Feliksa Stamma 1,Miasto,A,Praca,Białogard,"54,0112613 15,9562018",,,,,,2017-06-07 15:29,2,1,,
5050,LC K10-50 CO,Licznik CO BSM/G/W-1,17,Licznik CO(O),R,40,783,"BSM,2,18,2,18,CO",Walasiewiczówny 3,Miasto,A,Praca,Białogard,"54,0146363 15,9521290",,,,,,2017-06-07 15:29,2,1,,
5051,LC K10-51 CW,Licznik CW BSM/G/W-1,18,Licznik CW(O),R,40,783,"BSM,2,18,2,18,CW",Walasiewiczówny 3,Miasto,A,Praca,Białogard,"54,0146363 15,9521290",,,,,,2017-06-07 15:29,2,1,,
5052,LC K20-01 CO,Licznik CO WSP ZNW,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",1 maja 32,Miasto,A,Praca,Białogard,"54,0106145 15,9830366",,,,,,2017-06-07 15:29,2,1,,
